agency_id,rooms_page,pax_page
10730,23,2
10886,129,27
21909,31,6
34747,4,1
57800,2,0
44696,29,8
6237,6,0
41703,14,3
8401,152,4
8534,30,13
17010,58,23
28648,60,36
67148,27,4
45070,16,2
51748,34,8
20789,10,0
23657,4,4
11775,31,13
12774,146,46
12427,18,3
5518,50,13
2094,101,39
16258,1,0
31001,35,7
43151,4,0
60645,2,0
26685,8,0
36874,3,0
15615,7,5
59830,5,3
7516,78,15
57545,21,8
25689,53,27
49373,23,17
10676,41,13
7416,119,49
48565,18,3
24122,82,28
43003,51,47
6309,74,19
36783,3,0
37404,15,6
32254,21,8
31457,28,2
24934,13,3
60450,21,10
59985,77,16
49788,25,13
59157,77,32
4043,37,9
14887,3,1
32342,59,23
32053,99,16
42924,50,11
56396,25,21
10312,47,12
8410,17,14
24432,12,1
42164,15,0
51540,22,1
19830,12,3
36075,2,0
13946,61,30
56135,56,21
65658,21,6
52495,1,1
16405,82,43
39568,44,0
13871,21,0
37428,68,4
13542,15,2
29242,16,1
26893,10,0
12920,110,32
40676,12,2
20623,40,21
12615,1,1
21272,96,28
24983,68,7
41401,87,9
26987,2,0
12537,43,10
33043,53,20
41223,24,5
42099,24,4
56666,19,8
52183,41,15
30423,68,24
41609,55,5
24069,19,8
15849,13,5
35054,5,2
40979,64,6
17230,1,0
12431,41,8
10631,145,25
61025,38,14
41624,134,21
61284,4,0
7848,23,10
13394,29,6
8002,8,5
57200,74,7
49938,21,1
43348,31,1
45509,17,4
21169,20,4
46735,63,27
54804,236,71
53385,1,0
64043,6,0
6483,112,49
48033,14,1
24727,102,18
61809,27,24
36565,46,21
30472,131,33
8424,58,27
25607,3,1
35582,89,17
40755,251,54
1263,163,63
48351,26,7
6212,26,4
8422,42,12
64033,3,0
17400,34,19
5877,43,2
23800,7,0
36202,164,61
39710,22,2
10228,4,3
62696,17,9
12133,28,9
55693,5,1
14829,17,5
19214,23,0
13105,104,29
9680,26,8
53094,42,8
21497,54,11
45711,5,2
12307,6,2
6460,32,10
50131,20,3
8088,87,27
41822,31,17
10568,8,0
12041,86,46
11042,27,5
36687,53,5
57045,37,5
24972,33,10
53067,64,19
19312,73,37
10517,3,1
8149,55,11
61316,16,10
35190,8,0
55842,21,4
10235,85,29
4409,29,16
54556,49,14
26247,37,2
27725,82,29
51691,64,26
25582,31,6
6853,6,0
12765,6,1
11462,40,25
41796,3,0
13212,63,13
21184,40,15
41575,30,10
31629,14,5
10462,42,4
10237,8,2
29606,23,10
13553,27,10
56115,12,4
7921,69,24
4781,6,3
56406,1,0
5754,3,0
19359,1,0
19131,22,6
64994,7,1
58387,127,4
29293,16,4
27451,47,22
65111,24,6
59365,18,1
43145,2,1
55939,73,25
47587,32,14
56945,30,9
10552,11,4
46117,50,20
31814,20,4
55371,43,4
59092,1,0
42002,91,7
58534,30,10
26092,7,0
60692,19,5
40495,13,12
14621,4,1
6531,103,31
14755,7,3
20693,32,14
28770,40,6
11602,9,3
64606,22,9
13942,60,4
48185,22,6
55026,102,34
15472,32,11
25784,8,2
20970,44,11
12726,20,6
16912,30,17
13100,59,13
64790,30,21
38661,18,5
22279,20,8
34680,11,0
13162,126,39
58306,9,0
21540,49,20
47985,1,1
5318,44,13
8036,26,18
51434,182,14
65745,9,2
31841,5,0
44538,10,0
7531,5,0
24478,17,3
58406,3,0
38726,74,38
10075,109,39
23870,39,11
24970,28,4
39941,29,10
33600,8,2
23347,10,6
10332,1,0
17895,20,7
12202,8,2
12114,3,0
15550,7,0
13963,23,4
65168,18,2
19358,14,3
23552,5,0
21856,113,18
63227,9,6
15492,12,2
53943,37,18
20762,1,1
40901,3,0
55854,50,11
23465,4,2
42196,63,12
43084,15,3
38607,51,38
41892,21,8
44298,86,35
32481,7,1
44433,12,1
22920,24,3
8438,33,17
25226,5,4
40342,3,3
36183,5,4
30004,42,16
13789,25,1
27380,39,15
7943,8,6
26700,3,1
26472,36,12
47894,21,3
13947,19,12
26078,77,50
33925,36,26
20790,1,1
39938,5,0
12215,66,19
37691,24,9
66181,4,1
11703,42,21
58668,5,1
5886,13,7
11629,107,19
24181,59,3
38446,36,23
42503,67,28
26471,71,16
15894,5,1
63598,24,11
52027,40,21
27974,13,9
64777,8,3
52492,49,13
21720,1,0
62319,6,4
27515,12,3
65351,15,6
45508,5,2
17825,102,18
53643,83,52
48708,6,3
17438,59,25
45973,27,16
48136,82,33
57253,38,2
54563,13,6
54805,39,21
48808,17,3
55634,7,1
19389,94,31
27739,31,13
43291,101,8
25793,51,12
8423,29,11
8426,79,27
27520,17,6
48550,10,5
18281,18,4
52144,3,0
25807,94,41
22194,63,15
10531,45,4
28202,19,4
28367,85,22
51997,47,26
1167,67,27
21343,7,4
11329,1,0
11742,39,9
64426,2,1
51433,3,1
44556,3,0
6454,7,0
55028,15,0
44678,71,16
42604,119,17
31672,7,4
22311,4,0
15814,35,4
12716,66,13
26584,36,5
55767,55,14
37330,28,2
458,10,10
2266,50,15
30563,4,2
14438,2,1
24656,71,10
7437,23,6
38032,33,11
36303,5,1
29228,33,16
12372,14,1
38290,15,4
63489,13,2
44208,22,4
46188,128,32
7533,21,9
58124,154,78
20035,192,88
9775,6,0
11656,18,9
46561,43,8
10538,25,7
30972,4,0
10758,151,62
48666,32,7
15810,22,5
30192,16,8
66177,25,1
64260,138,63
16690,17,1
20902,25,8
55173,51,15
13462,105,27
65515,10,4
61227,25,9
47746,4,2
66061,3,3
64945,23,10
12381,33,13
66230,1,1
63159,16,2
34301,1,1
6295,102,41
45451,9,0
11636,62,43
15083,1,1
34247,70,21
34563,42,20
13132,34,16
1608,25,5
7532,13,1
10979,33,19
64748,13,1
19111,21,0
51992,2,1
40850,20,12
59105,30,13
3485,37,22
1169,384,31
35946,8,2
31806,32,15
9094,3,0
6858,46,18
35213,17,0
34486,9,5
47816,63,22
10680,72,12
67153,8,2
35413,40,17
64341,2,1
57948,36,4
64292,1,0
66285,10,0
1429,59,12
53830,18,3
64088,39,1
36241,21,9
65899,5,0
58831,2,0
16744,107,20
50272,5,0
13666,60,0
3121,44,6
54235,21,2
67155,4,0
9803,55,19
11512,24,1
41504,85,54
