agency_id,num_searches,num_bookings,l2b
1,1015668.0,10418.0,1.0257288799095767
1599,83651.0,5889.0,7.03996365853367
1633,1952.0,122.0,6.25
1697,9097.0,613.0,6.738485214906014
1699,94199.0,11326.0,12.023482202571152
1482,62.0,31.0,50.0
1702,4553.0,521.0,11.443004612343511
1550,72111.0,12384.0,17.173524150268335
1710,20689.0,2178.0,10.527333365556576
1712,7881.0,1137.0,14.427103159497525
1727,15425.0,614.0,3.980551053484603
1732,1202.0,0.0,0.0
1551,23843.0,3204.0,13.437906303736947
1725,7225.0,865.0,11.972318339100346
1751,8600.0,303.0,3.523255813953488
1791,1150826.0,44713.0,3.885296300222623
1773,20036.0,1352.0,6.747853863046515
23,69366.0,2706.0,3.9010466222645097
1890,6379.0,949.0,14.87693995924126
1895,9309.0,640.0,6.875067139327533
1909,49742.0,462.0,0.9287925696594427
1920,9098.0,1067.0,11.727852275225324
1934,26901.0,2752.0,10.230102970149808
1927,40949.0,8385.0,20.476690517472953
1949,19363.0,2729.0,14.093890409543974
1962,12523.0,1105.0,8.823764273736325
1783,41714.0,4557.0,10.92438989308146
2067,33258.0,1315.0,3.953935895122978
2076,37370.0,369.0,0.9874230666309874
2095,18561.0,3891.0,20.9633101664781
1900,8885.0,153.0,1.722003376477209
2083,57532.0,4186.0,7.275950775220746
2103,4753.0,556.0,11.69787502629918
1984,11233.0,770.0,6.854802813139855
1987,2910.0,421.0,14.467353951890036
2122,3239.0,215.0,6.637851188638469
2210,1816.0,61.0,3.359030837004405
2226,15876.0,93.0,0.5857898715041572
1308,11741.0,426.0,3.62831104675922
2326,1412.0,62.0,4.390934844192635
2334,3098.0,341.0,11.007101355713363
2538,12684.0,2023.0,15.949227373068434
2543,9988.0,401.0,4.014817781337605
1369,18758.0,31.0,0.16526282119628957
2562,312804.0,32387.0,10.353767854631014
2580,7884.0,3344.0,42.41501775748351
2367,6706.0,91.0,1.3569937369519833
2359,10995.0,1016.0,9.24056389267849
2464,1742.0,61.0,3.5017221584385765
274,25525.0,10345.0,40.52889324191969
2651,2287.0,31.0,1.355487538259729
2528,33843.0,1807.0,5.339361167745176
2531,4747.0,152.0,3.2020223298925634
2534,40377.0,3231.0,8.002080392302549
2266,9619.0,825.0,8.57677513255016
2536,2504.0,370.0,14.776357827476039
2336,5439.0,763.0,14.028314028314028
2363,101005.0,12213.0,12.091480619771298
2586,7174.0,865.0,12.057429606913855
2672,17573.0,307.0,1.7469982359301202
2511,5398.0,2396.0,44.38680992960356
2866,72405.0,17417.0,24.05496857951799
2934,20459.0,734.0,3.5876631311403293
60,37973.0,2269.0,5.975298238221895
3109,2989.0,247.0,8.263633322181331
3121,14717.0,1473.0,10.008833322008561
71,87016.0,7694.0,8.842052036407097
3168,13096.0,708.0,5.406230910201589
2640,7325.0,1410.0,19.24914675767918
3226,185.0,0.0,0.0
3267,11530.0,794.0,6.886383347788379
3281,9708.0,92.0,0.9476720230737536
3333,6098.0,711.0,11.659560511643162
3229,61327.0,4078.0,6.649599686924193
3380,3608.0,309.0,8.56430155210643
1713,15727.0,1069.0,6.797227697590132
3028,8413.0,61.0,0.7250683466064424
3433,10230.0,155.0,1.5151515151515151
3018,16381.0,823.0,5.024113301996215
3477,19691.0,184.0,0.934437052460515
3481,5080.0,123.0,2.421259842519685
2094,13338.0,1745.0,13.08292097765782
1140,13754.0,5119.0,37.21826377781009
904,15683.0,491.0,3.1307785500223173
3555,2880.0,306.0,10.625
3592,25787.0,1937.0,7.511536820878738
3688,6415.0,580.0,9.041309431021045
3702,2330.0,245.0,10.515021459227468
2824,13295.0,1132.0,8.514479127491539
2142,12578.0,1592.0,12.657020193989505
3706,2909.0,459.0,15.778618081815058
4227,9301.0,1511.0,16.245564993011506
