agency_id,rooms_page,pax_page
306,2,0
32643,163,40
930,89,9
64016,4,0
5641,608,91
6238,1370,144
54878,192,45
2437,75,31
49285,46,6
1969,304,135
65990,86,28
2119,12,7
26505,107,27
1324,16,5
6377,153,134
17161,2,0
3854,181,51
626,610,139
66457,136,11
801,123,4
64058,14,0
2138,63,40
39868,54,19
7039,8,4
2484,66,10
17887,181,33
13931,96,40
3365,147,68
17037,56,20
2239,44,7
31084,38,6
966,121,59
3765,132,61
16261,138,53
39641,4,1
12165,121,32
64019,35,11
42019,77,32
44354,9,1
40927,183,85
62178,104,5
67063,49,2
57321,1066,364
61539,8,0
16609,2,1
36092,23,11
54170,228,19
3842,46,8
5267,96,76
7712,203,45
24641,137,38
32134,483,23
36426,344,93
55070,128,19
48871,65,6
7366,457,81
63324,318,67
36,26,14
45818,38,19
54605,240,46
20202,122,1
731,696,93
2336,1,1
47043,690,186
12831,495,41
758,161,11
12285,96,28
9818,77,29
9154,180,9
16198,51,13
5950,5,2
344,202,82
53444,90,13
1890,47,10
20272,142,15
49287,231,34
16337,1,0
52762,78,17
46876,16,0
51516,3,2
13621,110,9
40466,1,0
40301,1,0
39411,11,2
13728,113,8
6195,5,0
15272,64,14
19419,41,24
63565,1251,971
4114,71,22
12364,186,70
20380,65,35
25640,102,7
60142,192,96
7765,2,1
1923,27,1
43045,59,16
35411,441,73
36151,63,10
43292,49,23
38393,22,1
64131,325,7
29,224,58
25631,65,11
5046,184,51
27159,8,4
11142,427,43
24245,117,6
30586,21,2
41320,153,20
28520,17,0
61388,18,7
41620,9,3
32897,87,2
22744,2092,323
51581,1089,84
60561,246,44
48176,65,21
1350,123,36
49787,170,47
35208,26,10
44966,193,17
48819,60,0
2964,221,53
39364,10,0
39468,53,2
39231,80,0
66294,96,24
25684,90,4
20606,28,6
56832,63,18
28449,17,2
6017,97,56
7371,96,18
34156,81,21
52280,63,6
64915,22,2
9395,38,12
4106,19,8
37055,195,25
38008,63,2
14644,17,1
39677,105,10
21484,6,2
144,21,10
44951,97,25
36821,479,16
36880,92,7
1859,48,40
5677,123,19
46311,2,0
15650,62,5
9078,43,3
55,61,8
36683,38,14
44225,83,1
4874,49,36
57124,12,8
32349,173,24
614,57,13
783,50,0
4791,83,13
47563,10,4
404,193,56
60757,3,1
48097,576,23
2226,175,10
59931,7,1
5430,56,10
23675,209,20
59729,75,20
21388,639,104
58339,133,0
15957,186,10
8820,54,15
66953,202,9
4367,53,1
2775,29,10
61857,15,0
5205,102,38
37299,6,1
66176,14,0
802,49,21
56984,27,5
39657,99,25
12444,35,6
62761,53,3
29287,157,44
2301,25,4
24138,167,46
35392,226,34
632,2,0
66547,119,65
19502,66,15
4423,90,1
56692,28,2
65317,70,25
774,434,92
938,97,10
52245,16,12
53471,72,8
60,141,54
38678,244,33
5780,178,15
9895,20,6
9442,151,39
56683,74,19
29454,43,4
46788,494,0
28370,12,0
36176,6715,597
60421,280,44
13162,507,98
8734,29,14
56834,66,21
63014,204,27
63972,30,16
48571,22,2
48510,44,16
54113,73,13
28114,117,12
56321,38,1
1263,526,127
63700,2,0
66443,524,119
29369,233,48
26355,148,11
26755,117,85
1125,31,5
11921,20,2
5590,100,29
121,421,121
53115,239,6
39477,61,23
14763,48,14
8838,86,12
42920,242,9
37546,120,52
61802,55,8
39103,8,0
58673,37,8
50261,39,10
20352,16,0
21802,302,20
53385,629,132
35976,509,13
639,188,25
33995,36,4
24118,84,11
3685,23,20
63028,20,1
1337,96,8
16632,167,13
63558,57,0
15389,80,32
31353,136,17
32129,246,44
33803,182,31
2616,11,10
2425,139,44
48726,6,0
12581,51,2
10917,207,0
24030,12,1
14495,29,2
893,319,84
20158,817,299
35064,3,0
13578,22,2
1003,105,36
42523,6,3
20732,51,17
32786,3,1
65520,95,11
29272,92,26
42908,20,4
26670,162,76
44281,850,35
17487,34,6
28234,23,0
13836,306,55
39668,79,0
23934,187,17
2866,566,239
56843,52,12
29313,121,23
39237,19,2
48835,1,0
23196,677,89
26920,7,0
53607,576,23
929,14,0
14364,64,13
38066,125,50
47691,21,4
60618,175,15
25327,696,160
29161,30,7
14849,237,32
3484,89,19
62851,48,4
268,108,19
48795,14,0
7900,210,76
26678,54,20
1132,20,1
5957,42,7
29668,74,18
376,127,6
29278,73,18
13568,80,18
54952,11,2
64914,127,38
41500,192,10
2334,51,15
5508,42,14
39317,52,11
50293,27,1
19385,29,10
58931,30,21
189,359,101
1410,15,3
16761,132,11
15379,177,12
35153,1155,39
50249,309,31
8934,85,19
231,83,6
18703,2679,297
45009,226,19
15422,21,1
24338,5,1
62530,29,8
1522,20,5
45465,120,21
4083,45,8
6221,64,21
652,394,67
42777,191,35
63922,208,6
41707,14,5
41992,76,27
24801,43,7
31950,24,0
4845,5,3
48651,22,5
21060,844,31
34031,32,5
1500,15,7
28607,35,3
30794,167,23
44986,248,43
48288,1,1
53095,1,1
47282,208,57
25101,227,16
47156,52,5
5934,59,0
31730,22,2
40876,49,7
6876,49,6
42917,9,1
41490,43,6
33376,14,1
26891,8,0
16633,258,7
43277,100,13
47175,26,14
40209,9,5
16490,247,9
455,344,99
7309,222,37
42775,255,49
40939,23,1
7880,32,7
62038,15,3
53298,1655,81
2048,238,25
16073,221,39
9521,45,11
23933,102,22
24919,49,4
60760,30,6
2976,57,35
19746,21,2
48997,40,10
6156,147,106
56871,83,15
47752,52,13
47355,55,4
17443,24,4
1713,78,12
36122,28,1
3818,122,18
44619,15,0
17599,30,9
36135,21,2
17885,411,14
23657,129,57
56648,1960,17
35181,133,6
1880,20,9
35088,359,14
5769,10,1
38061,493,188
36219,401,42
18003,540,80
5935,40,2
50107,68,7
24833,3,0
6987,222,45
34016,38,2
46786,568,52
40947,18,1
19736,49,0
34519,184,17
54631,124,79
8269,11,9
60625,65,14
23363,21,5
1260,122,28
16028,27,4
17857,13,4
16425,161,83
66356,46,3
20015,53,22
40931,22,4
28138,6,1
3109,32,6
5532,94,18
37832,3,1
12114,19,5
47142,196,38
24647,52,44
57613,70,24
50329,179,45
58075,2,0
6142,38,29
538,18,4
22746,367,39
20917,78,10
21785,9,4
65552,89,29
56708,136,16
54968,38,7
47994,248,32
17444,8,1
900,7,0
14948,53,17
9218,24,7
