agency_id,agency_name,region,created_on,first_overall_sale,first_q_sale,last_q_sale,freq,mon,rec,days_active,rel_freq,new_agency,rec_log,rel_freq_log,mon_log,rec_score,freq_score,mon_score,RFM
5463,LABBAIK TRAVEL AND TOURS,Middle East,2015-07-19,2021-02-02,2022-10-01,2022-12-29,50,16113.09,3,90,0.5555555555555556,0,1.0986122886681098,-0.587786664902119,9.687387264110008,3,2,3,8
39814,CAMBRIA HOTEL SERVICES,APAC,2020-10-01,2020-10-11,2022-10-01,2022-12-05,10,5040.04,27,66,0.15151515151515152,0,3.295836866004329,-1.8870696490323797,8.525169297541856,2,1,2,5
13462,PT BIRO PERJALANAN WISATA GREAT UNION CONTINENTAL ,APAC,2017-08-08,2018-04-20,2022-10-01,2022-12-30,78,44482.15,2,91,0.8571428571428571,0,0.6931471805599453,-0.15415067982725836,10.702843264087237,3,3,3,9
64176,UPPLEV SYDAFRIKA AB,Western Europe,2022-09-29,2022-10-01,2022-10-01,2022-10-03,5,456.36,90,3,1.6666666666666667,1,4.499809670330265,0.5108256237659907,6.123281971728169,1,3,1,5
234,ATLAS TRAVEL (DAMMAM),Middle East,2011-06-20,2011-06-22,2022-10-01,2022-12-23,80,43854.77,9,84,0.9523809523809523,0,2.1972245773362196,-0.048790164169432056,10.688638771815807,3,3,3,9
677,CITY TRAVEL POINT LLC,Middle East,2011-12-14,2019-03-14,2022-10-01,2022-12-16,33,27598.51,16,77,0.42857142857142855,0,2.772588722239781,-0.8472978603872037,10.225517064740725,2,2,3,7
56490,ASEMANE HAFTOM TOURISM LLC,Middle East,2022-03-31,2022-04-05,2022-10-01,2022-12-26,62,49926.63,6,87,0.7126436781609196,0,1.791759469228055,-0.33877373360949214,10.81830980672451,3,3,3,9
41312,PLANET TRAVEL NETWORK (PLANETTRAVELNETWORK.COM),Middle East,2021-01-06,2021-11-29,2022-10-01,2022-12-18,30,13712.01,14,79,0.379746835443038,0,2.6390573296152584,-0.968250470804866,9.52602737012551,2,2,3,7
64013,JOSE ENRICO'S DESTINATION (JED) TRAVEL & TOURS,APAC,2022-09-27,2022-10-01,2022-10-01,2022-10-01,1,354.56,92,1,1.0,1,4.5217885770490405,0.0,5.8708775841188645,1,3,1,5
404,OVERSEAS TRAVEL BUREAU(DOH),Middle East,2011-09-27,2012-05-17,2022-10-01,2022-12-27,119,80116.48,5,88,1.3522727272727273,0,1.6094379124341003,0.3017866786333229,11.291236854715772,3,3,3,9
